,Year,Draw,Country,Artist,Song,Language,Place,Points
333,1977,07,Luxembourg,Anne-Marie B,Frère Jacques,French,16,17
334,1977,08,Portugal,Os Amigos,Portugal no coração,Portuguese,14,18
335,1977,09,United Kingdom,Lynsey de Paul and Mike Moran,Rock Bottom,English,2,121
336,1977,10,Greece,"Pascalis, Marianna, Robert and Bessy",Mathima solfege (Μάθημα σολφέζ),Greek,5,92
337,1977,11,Israel,Ilanit,Ahava Hi Shir Lishnayim (אהבה היא שיר לשניים),Hebrew,11,49
338,1977,12,Switzerland,Pepe Lienhard Band,Swiss Lady,German,6,71
339,1977,13,Sweden,Forbes,Beatles,Swedish,18,2
340,1977,14,Spain,Micky,Enséñame a cantar,Spanish,9,52
341,1977,15,Italy,Mia Martini,Libera,Italian,13,33
342,1977,16,Finland,Monica Aspelund,Lapponia,Finnish,10,50
343,1977,17,Belgium,Dream Express,"A Million in One, Two, Three",English,7,69
344,1977,18,France,Marie Myriam,L'oiseau et l'enfant,French,1,136
345,1978,01,Ireland,Colm C. T. Wilkinson,Born to Sing,English,5,86
346,1978,02,Norway,Jahn Teigen,Mil etter mil,Norwegian,20,0
347,1978,03,Italy,Ricchi e Poveri,Questo amore,Italian,12,53
348,1978,04,Finland,Seija Simola,Anna rakkaudelle tilaisuus,Finnish,18,2
349,1978,05,Portugal,Gemini,Dai li dou,Portuguese,17,5
350,1978,06,France,Joël Prévost,Il y aura toujours des violons,French,3,119
351,1978,07,Spain,José Vélez,Bailemos un vals,Spanish,9,65
352,1978,08,United Kingdom,Co-Co,The Bad Old Days,English,11,61
353,1978,09,Switzerland,Carole Vinci,Vivre,French,9,65
354,1978,10,Belgium,Jean Vallée,L'amour ça fait chanter la vie,French,2,125
355,1978,11,Netherlands,Harmony,'t Is OK,Dutch,13,37
356,1978,12,Turkey,Nilüfer and Nazar,Sevince,Turkish,18,2
357,1978,13,Germany,Ireen Sheer,Feuer,German,6,84
358,1978,14,Monaco,Caline and Olivier Toussaint,Les jardins de Monaco,French,4,107
359,1978,15,Greece,Tania Tsanaklidou,Charlie Chaplin (Τσάρλυ Τσάπλιν),Greek,8,66
