,Year,Draw,Country,Artist,Song,Language,Place,Points
8,2019,09,Sweden,John Lundvik,Too Late for Love,English,5,334
9,2019,10,Slovenia,Zala Kralj and Gašper Šantl,Sebi,Slovene,15,105
10,2019,11,Cyprus,Tamta,Replay,English,13,109
11,2019,12,Netherlands,Duncan Laurence,Arcade,English,1,498
12,2019,13,Greece,Katerine Duska,Better Love,English,21,74
13,2019,14,Israel,Kobi Marimi,Home,English,23,35
14,2019,15,Norway,Keiino,Spirit in the Sky,English,6,331
15,2019,16,United Kingdom,Michael Rice,Bigger than Us,English,26,11
16,2019,17,Iceland,Hatari,Hatrið mun sigra,Icelandic,10,232
17,2019,18,Estonia,Victor Crone,Storm,English,20,76
18,2019,19,Belarus,Zena,Like It,English,24,31
19,2019,20,Azerbaijan,Chingiz,Truth,English,8,302
20,2019,21,France,Bilal Hassani,Roi,"French, English",16,105
21,2019,22,Italy,Mahmood,Soldi,Italian,2,472
22,2019,23,Serbia,Nevena Božović,Kruna (Круна),Serbian,18,89
23,2019,24,Switzerland,Luca Hänni,She Got Me,English,4,364
24,2019,25,Australia,Kate Miller-Heidke,Zero Gravity,English,9,284
25,2019,26,Spain,Miki,La venda,Spanish,22,54
0,2021,01,Cyprus,Elena Tsagrinou,El Diablo,English,16,94
1,2021,02,Albania,Anxhela Peristeri,Karma,Albanian,21,57
2,2021,03,Israel,Eden Alene,Set Me Free,English,17,93
3,2021,04,Belgium,Hooverphonic,The Wrong Place,English,19,74
4,2021,05,Russia,Manizha,Russian Woman,"Russian, English",9,204
5,2021,06,Malta,Destiny,Je me casse,English,7,255
6,2021,07,Portugal,The Black Mamba,Love Is on My Side,English,12,153
7,2021,08,Serbia,Hurricane,Loco Loco,Serbian,15,102
8,2021,09,United Kingdom,James Newman,Embers,English,26,0
9,2021,10,Greece,Stefania,Last Dance,English,10,170
10,2021,11,Switzerland,Gjon's Tears,Tout l'univers,French,3,432
11,2021,12,Iceland,Daði og Gagnamagnið,10 Years,English,4,378
12,2021,13,Spain,Blas Cantó,Voy a quedarme,Spanish,24,6
13,2021,14,Moldova,Natalia Gordienko,Sugar,English,13,115
14,2021,15,Germany,Jendrik,I Don't Feel Hate,English,25,3
15,2021,16,Finland,Blind Channel,Dark Side,English,6,301
16,2021,17,Bulgaria,Victoria,Growing Up Is Getting Old,English,11,170
17,2021,18,Lithuania,The Roop,Discoteque,English,8,220
18,2021,19,Ukraine,Go_A,Shum (Шум),Ukrainian,5,364
19,2021,20,France,Barbara Pravi,Voilà,French,2,499
20,2021,21,Azerbaijan,Efendi,Mata Hari,English,20,65
21,2021,22,Norway,Tix,Fallen Angel,English,18,75
22,2021,23,Netherlands,Jeangu Macrooy,Birth of a New Age,"English, Sranan Tongo",23,11
23,2021,24,Italy,Måneskin,Zitti e buoni,Italian,1,524
24,2021,25,Sweden,Tusse,Voices,English,14,109
25,2021,26,San Marino,Senhit,Adrenalina,English,22,50
0,2022,01,Czech Republic,We Are Domi,Lights Off,English,22,38
1,2022,02,Romania,WRS,Llámame,English,18,65
2,2022,03,Portugal,Maro,"Saudade, saudade","English, Portuguese",9,207
3,2022,04,Finland,The Rasmus,Jezebel,English,21,38
4,2022,05,Switzerland,Marius Bear,Boys Do Cry,English,17,78
5,2022,06,France,Alvan and Ahez,Fulenn,Breton,24,17
6,2022,07,Norway,Subwoolfer,Give That Wolf a Banana,English,10,182
7,2022,08,Armenia,Rosa Linn,Snap,English,20,61
8,2022,09,Italy,Mahmood and Blanco,Brividi,Italian,6,268
9,2022,10,Spain,Chanel,SloMo,"Spanish, English",3,459
10,2022,11,Netherlands,S10,De diepte,Dutch,11,171
11,2022,12,Ukraine,Kalush Orchestra,Stefania (Стефанія),Ukrainian,1,631
12,2022,13,Germany,Malik Harris,Rockstars,English,25,6
13,2022,14,Lithuania,Monika Liu,Sentimentai,Lithuanian,14,128
14,2022,15,Azerbaijan,Nadir Rustamli,Fade to Black,English,16,106
15,2022,16,Belgium,Jérémie Makiese,Miss You,English,19,64
16,2022,17,Greece,Amanda Georgiadi Tenfjord,Die Together,English,8,215
17,2022,18,Iceland,Systur,Með hækkandi sól,Icelandic,23,20
18,2022,19,Moldova,Zdob și Zdub and Advahov Brothers,Trenulețul,"Romanian, English",7,253
19,2022,20,Sweden,Cornelia Jakobs,Hold Me Closer,English,4,438
20,2022,21,Australia,Sheldon Riley,Not the Same,English,15,125
21,2022,22,United Kingdom,Sam Ryder,Space Man,English,2,466
22,2022,23,Poland,Ochman,River,English,12,151
23,2022,24,Serbia,Konstrakta,In corpore sano,"Serbian, Latin",5,312
24,2022,25,Estonia,Stefan,Hope,English,13,141
